Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
2019_11_29,2019_12_03,796,2 x SLAD,2 x SLAD (BD agar),75,0,4,34,0,0,NA
2019_11_29,2019_12_03,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,0,4,27,0,0,NA
2019_11_29,2019_12_03,796 alr2,1 x SLAD,2 x SLAD (BD agar),50,0,4,56,0,0,NA
2019_11_29,2019_12_03,796 alr2,1 x SLAD,2 x SLAD (BD agar),75,0,4,42,0,0,NA
2019_11_29,2019_12_03,796 ato3,1 x SLAD,2 x SLAD (BD agar),50,0,4,31,4,0.12903225806451613,NA
2019_11_29,2019_12_03,796 ato3,1 x SLAD,2 x SLAD (BD agar),75,0,4,27,20,0.7407407407407407,NA
2019_11_29,2019_12_03,796 dur3,1 x SLAD,2 x SLAD (BD agar),50,0,4,40,25,0.625,NA
2019_11_29,2019_12_03,796 dur3,1 x SLAD,2 x SLAD (BD agar),75,0,4,33,33,1,NA
2019_11_29,2019_12_03,796 fui1,1 x SLAD,2 x SLAD (BD agar),50,0,4,46,0,0,NA
2019_11_29,2019_12_03,796 fui1,1 x SLAD,2 x SLAD (BD agar),75,0,4,37,37,1,NA
2019_11_29,2019_12_03,796 mid1,1 x SLAD,2 x SLAD (BD agar),50,0,4,27,12,0.44444444444444442,NA
2019_11_29,2019_12_03,796 mid1,1 x SLAD,2 x SLAD (BD agar),75,0,4,47,10,0.21276595744680851,NA
2019_11_29,2019_12_03,796 msb2,1 x SLAD,2 x SLAD (BD agar),50,0,4,34,0,0,NA
2019_11_29,2019_12_03,796 msb2,1 x SLAD,2 x SLAD (BD agar),75,0,4,33,0,0,NA
2019_11_29,2019_12_03,796 tpo4,1 x SLAD,2 x SLAD (BD agar),50,0,4,46,46,1,NA
2019_11_29,2019_12_03,796 tpo4,1 x SLAD,2 x SLAD (BD agar),75,0,4,45,45,1,NA
2019_11_29,2019_12_03,796,1 x SLAD,2 x SLAD (BD agar),50,400,4,24,0,0,NA
2019_11_29,2019_12_03,796,2 x SLAD,2 x SLAD (BD agar),50,400,4,38,0,0,NA
2019_11_29,2019_12_03,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),50,400,4,36,2,5.5555555555555552E-2,NA
2019_11_29,2019_12_03,796,1 x SLAD,2 x SLAD (BD agar),75,400,4,25,0,0,NA
2019_11_29,2019_12_03,796,2 x SLAD,2 x SLAD (BD agar),75,400,4,42,0,0,NA
2019_11_29,2019_12_03,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,400,4,29,3,0.10344827586206896,NA
2019_11_29,2019_12_03,796 alr2,1 x SLAD,2 x SLAD (BD agar),50,400,4,49,45,0.91836734693877553,NA
2019_11_29,2019_12_03,796 alr2,1 x SLAD,2 x SLAD (BD agar),75,400,4,29,15,0.51724137931034486,NA
2019_11_29,2019_12_03,796 ato3,1 x SLAD,2 x SLAD (BD agar),50,400,4,37,20,0.54054054054054057,NA
2019_11_29,2019_12_03,796 ato3,1 x SLAD,2 x SLAD (BD agar),75,400,4,33,25,0.75757575757575757,NA
2019_11_29,2019_12_03,796 dur3,1 x SLAD,2 x SLAD (BD agar),50,400,4,54,54,1,NA
2019_11_29,2019_12_03,796 dur3,1 x SLAD,2 x SLAD (BD agar),75,400,4,43,23,0.53488372093023251,NA
2019_11_29,2019_12_03,796 fui1,1 x SLAD,2 x SLAD (BD agar),50,400,4,40,30,0.75,NA
2019_11_29,2019_12_03,796 fui1,1 x SLAD,2 x SLAD (BD agar),75,400,4,42,21,0.5,NA
2019_11_29,2019_12_03,796 mid1,1 x SLAD,2 x SLAD (BD agar),50,400,4,33,33,1,NA
2019_11_29,2019_12_03,796 mid1,1 x SLAD,2 x SLAD (BD agar),75,400,4,31,31,1,NA
2019_11_29,2019_12_03,796 msb2,1 x SLAD,2 x SLAD (BD agar),50,400,4,39,0,0,NA
2019_11_29,2019_12_03,796 msb2,1 x SLAD,2 x SLAD (BD agar),75,400,4,36,0,0,NA
2019_11_29,2019_12_03,796 tpo4,1 x SLAD,2 x SLAD (BD agar),50,400,4,39,39,1,NA
2019_11_29,2019_12_03,796 tpo4,1 x SLAD,2 x SLAD (BD agar),75,400,4,51,51,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
