Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA
43784,43787,796,1 x SLAD,2 x SLAD (BD agar),50,400,3,34,31,0.91176470588235292,NA
43784,43787,796,1 x SLAD,2 x SLAD (BD agar),75,400,3,25,20,0.8,NA
43784,43787,1278B,1 x SLAD,2 x SLAD (BD agar),50,400,3,31,31,1,NA
43784,43787,1278B,1 x SLAD,2 x SLAD (BD agar),75,400,3,40,40,1,NA
43784,43787,L2056,1 x SLAD,2 x SLAD (BD agar),50,400,3,31,31,1,NA
43784,43787,L2056,1 x SLAD,2 x SLAD (BD agar),75,400,3,35,35,1,NA
43784,43787,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,400,3,46,20,0.43478260869565216,NA
43784,43787,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,400,3,25,0,0,NA
43784,43787,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,400,3,77,0,0,NA
43784,43787,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,400,3,96,0,0,NA
43784,43787,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,400,3,38,13,0.34210526315789475,NA
43784,43787,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,400,3,26,6,0.23076923076923078,NA
43784,43787,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,400,3,38,0,0,NA
43784,43787,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,400,3,31,0,0,NA
43784,43787,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,400,3,29,25,0.86206896551724133,NA
43784,43787,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,400,3,33,31,0.93939393939393945,NA
43784,43787,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,400,3,20,5,0.25,NA
43784,43787,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,400,3,35,1,2.8571428571428571E-2,NA
43784,43787,796,1 x SLAD,2 x SLAD (BD agar),50,NA,3,34,20,0.58823529411764708,NA
43784,43787,796,1 x SLAD,2 x SLAD (BD agar),75,NA,3,34,26,0.76470588235294112,NA
43784,43787,1278B,1 x SLAD,2 x SLAD (BD agar),50,NA,3,30,30,1,NA
43784,43787,1278B,1 x SLAD,2 x SLAD (BD agar),75,NA,3,30,30,1,NA
43784,43787,L2056,1 x SLAD,2 x SLAD (BD agar),50,NA,3,35,30,0.8571428571428571,NA
43784,43787,L2056,1 x SLAD,2 x SLAD (BD agar),75,NA,3,35,3,8.5714285714285715E-2,NA
43784,43787,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,NA,3,43,0,0,NA
43784,43787,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,NA,3,39,0,0,NA
43784,43787,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,NA,3,70,0,0,NA
43784,43787,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,NA,3,83,0,0,NA
43784,43787,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,NA,3,30,0,0,NA
43784,43787,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,NA,3,22,0,0,NA
43784,43787,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,NA,3,39,0,0,NA
43784,43787,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,NA,3,38,0,0,NA
43784,43787,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,NA,3,34,10,0.29411764705882354,NA
43784,43787,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,NA,3,32,32,1,NA
43784,43787,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,NA,3,38,0,0,NA
43784,43787,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,NA,3,41,1,2.4390243902439025E-2,NA
